row_index,day,LAI,Tout_C,Tin_target_C,Tin_final_C,RHin_final_pct,heater_gas_total_m3,heater_elec_total_kwh,cooling_elec_total_kwh,vents_elec_total_kwh,total_elec_kwh,airflow_avg_m3_s,airflow_final_m3_s,ach_avg_1_h,ach_final_1_h
0,100.0,1.2,-5.0,18.0,15.203501734003178,89.53041874992307,19.61361111111074,1.7512152777778176,6.484500000000153,0.1280888888888882,8.363804166666858,0.2444444444444444,0.2444444444444444,1.0999999999999999,1.0999999999999999
1,101.0,1.3,-4.2,18.2,18.193913922275044,91.22957443358294,19.61361111111074,1.7512152777778176,6.91680000000017,0.0,8.668015277777988,0.21333333333333335,0.21333333333333335,0.96,0.96
2,102.0,1.4,-3.4,18.4,18.83118045982035,91.38190039501126,19.61361111111074,1.7512152777778176,7.349099999999837,0.0,9.100315277777655,0.22666666666666666,0.22666666666666666,1.02,1.02
3,103.0,1.5,-2.5999999999999996,18.6,17.389815234600587,90.31336189307827,19.61361111111074,1.7512152777778176,7.781399999999849,0.1280888888888882,9.660704166666553,0.28444444444444444,0.28444444444444444,1.28,1.28
4,104.0,1.6,-1.7999999999999998,18.8,20.027094255076268,91.65049084626031,19.61361111111074,1.7512152777778176,8.213700000000017,0.0,9.964915277777834,0.25333333333333335,0.25333333333333335,1.1400000000000001,1.1400000000000001
5,105.0,1.7,-1.0,19.0,15.341475452069062,92.24046019821922,0.0,0.0,8.646000000000106,0.0,8.646000000000106,0.2666666666666667,0.2666666666666667,1.2000000000000002,1.2000000000000002
6,106.0,1.8,-0.1999999999999993,19.2,14.677841035422155,91.45364910992359,0.0,0.0,9.078300000000167,0.1280888888888882,9.206388888889055,0.3244444444444444,0.3244444444444444,1.4600000000000002,1.46
7,107.0,1.9,0.6000000000000005,19.4,16.966230888239892,92.41701996471238,0.0,0.0,9.51060000000001,0.0,9.51060000000001,0.29333333333333333,0.29333333333333333,1.32,1.32
8,108.0,2.0,1.4000000000000004,19.6,17.724237417482104,92.50221530833565,0.0,0.0,9.94289999999988,0.0,9.94289999999988,0.30666666666666664,0.30666666666666664,1.3800000000000001,1.3800000000000001
9,109.0,2.1,2.2,19.8,17.080996375502412,91.84823024001075,0.0,0.0,10.375199999999829,0.1280888888888882,10.503288888888717,0.36444444444444446,0.36444444444444446,1.64,1.64
